column_name,seed_reason,dtype,source_contract
C00CARNEGIE,2024_only_baseline_schema,string,analysis_legacy_schema
CARNEGIEALF,2024_only_baseline_schema,string,analysis_legacy_schema
CARNEGIEAPM,2024_only_baseline_schema,string,analysis_legacy_schema
CARNEGIEGPM,2024_only_baseline_schema,string,analysis_legacy_schema
CARNEGIEIC,2024_only_baseline_schema,string,analysis_legacy_schema
CARNEGIERSCH,2024_only_baseline_schema,string,analysis_legacy_schema
CARNEGIESAEC,2024_only_baseline_schema,string,analysis_legacy_schema
CARNEGIESIZE,2024_only_baseline_schema,string,analysis_legacy_schema
DOD,2024_only_baseline_schema,string,analysis_legacy_schema
IDX_COS,2024_only_baseline_schema,float64,analysis_legacy_schema
PARTVT,2024_only_baseline_schema,string,analysis_legacy_schema
PO9,2024_only_baseline_schema,string,analysis_legacy_schema
PRCH_COS,2024_only_baseline_schema,string,analysis_legacy_schema
STAT_COS_CAT,legacy_globally_null,string,analysis_legacy_schema
